yi,vi,group,sei
-21.29,126.681977528544,SOL; posttreatment (k = 16),11.2553088597579
-29,27.778223060769,SOL; posttreatment (k = 16),5.27050501003168
-12.6,93.9747155573491,SOL; posttreatment (k = 16),9.69405568156843
2.85,127.372027877573,SOL; posttreatment (k = 16),11.2859216671733
-26,205.988645703358,SOL; posttreatment (k = 16),14.3523045432905
-22.3,311.461909614798,SOL; posttreatment (k = 16),17.6482834750238
-10.9,54.2046419652561,SOL; posttreatment (k = 16),7.36238018342276
-25,53.6052863278621,SOL; posttreatment (k = 16),7.32156310686879
-24.65,102.054979188651,SOL; posttreatment (k = 16),10.1022264471081
-27.7,7.39534154237444,SOL; posttreatment (k = 16),2.71943772540841
-13.84,77.3710233203268,SOL; posttreatment (k = 16),8.79607999738104
-9.5,101.643052346829,SOL; posttreatment (k = 16),10.0818179088312
-21.83,26.6602883905168,SOL; posttreatment (k = 16),5.1633601840775
-5.3,224.855228265579,SOL; posttreatment (k = 16),14.9951734990156
-9,22.7576303900619,SOL; posttreatment (k = 16),4.77049582224552
-29.5,169.537259254629,SOL; posttreatment (k = 16),13.0206474207172
-15.4,92.3005859362387,SOL; early follow-up (k = 4),9.60731939389124
-6.8,183.084196090098,SOL; early follow-up (k = 4),13.5308608776418
-44.6,306.261255141456,SOL; early follow-up (k = 4),17.5003215725156
-2,22.7576303900619,SOL; early follow-up (k = 4),4.77049582224552
-39.7,315.255234151169,SOL; late follow-up (k = 3),17.755428300978
-15.5,63.3509329031481,SOL; late follow-up (k = 3),7.9593299280246
0.9,105.694872430426,SOL; late follow-up (k = 3),10.2808011570318
2.04,641.198309020251,TST; posttreatment (k = 16),25.3218938671706
10.84,315.074079013894,TST; posttreatment (k = 16),17.7503261664087
-2,187.948624129606,TST; posttreatment (k = 16),13.7094355875655
33.7,389.47245560468,TST; posttreatment (k = 16),19.7350565138456
19.1,512.486790016994,TST; posttreatment (k = 16),22.6381710837469
-4.2,246.947850876243,TST; posttreatment (k = 16),15.7145744732793
56.4,369.987045635747,TST; posttreatment (k = 16),19.2350473260595
-9.67,139.630704124814,TST; posttreatment (k = 16),11.816543662375
13.2,112.84056922981,TST; posttreatment (k = 16),10.6226441731713
-12.32,390.883403958676,TST; posttreatment (k = 16),19.7707714558303
5.37,232.104427410962,TST; posttreatment (k = 16),15.2349738237702
13.5,529.488950667046,TST; posttreatment (k = 16),23.0106269073019
-6.47,125.536058697842,TST; posttreatment (k = 16),11.2042875140654
10.2,197.868813770768,TST; posttreatment (k = 16),14.0665850074127
16.2,102.674431358015,TST; posttreatment (k = 16),10.1328392545236
11.78,334.939657056511,TST; posttreatment (k = 16),18.3013566998873
-5.23,441.016207403697,TST; early follow-up (k = 4),21.0003858870188
47.9,372.93709678271,TST; early follow-up (k = 4),19.3115793445982
62,355.220155595325,TST; early follow-up (k = 4),18.8472850987967
18.6,115.347455402355,TST; early follow-up (k = 4),10.739993268264
65.11,708.509195865389,TST; late follow-up (k = 4),26.6178360477592
63.7,324.011907480267,TST; late follow-up (k = 4),18.0003307603018
25.8,131.551690018816,TST; late follow-up (k = 4),11.4695985116662
6.5,474.85712723855,TST; late follow-up (k = 4),21.791216745252
10.95,30.5323850845827,SE%; posttreatment (k = 17),5.525611738494
12.16,15.4743556483729,SE%; posttreatment (k = 17),3.93374575288908
6,7.78894201307448,SE%; posttreatment (k = 17),2.79086760937786
14.9,11.8607284697554,SE%; posttreatment (k = 17),3.44394083424141
10.9,29.4704707987847,SE%; posttreatment (k = 17),5.42867118167832
5.9,15.5145226805349,SE%; posttreatment (k = 17),3.93884788745833
15.2,20.9454021911034,SE%; posttreatment (k = 17),4.57661470861415
5.06,6.58627390815771,SE%; posttreatment (k = 17),2.56637368833101
9.9,5.70158396128333,SE%; posttreatment (k = 17),2.38779897840738
10.36,8.36893000825945,SE%; posttreatment (k = 17),2.89291030076279
13.8,1.01026723990725,SE%; posttreatment (k = 17),1.00512051014157
6.97,10.998425851241,SE%; posttreatment (k = 17),3.31638747001025
4.8,14.5648834496396,SE%; posttreatment (k = 17),3.81639665779641
7.54,4.65783985594485,SE%; posttreatment (k = 17),2.15820292279129
7.4,7.9607517423483,SE%; posttreatment (k = 17),2.82148041679334
13.51,5.79946344341509,SE%; posttreatment (k = 17),2.40820751668437
13.05,13.0119577829987,SE%; posttreatment (k = 17),3.6072091404573
10.39,19.7487734584883,SE%; early follow-up (k = 5),4.44395920981374
15.9,10.998425851241,SE%; early follow-up (k = 5),3.31638747001025
-2.7,32.0159881286394,SE%; early follow-up (k = 5),5.65826723729441
24.4,20.9454021911034,SE%; early follow-up (k = 5),4.57661470861415
8.29,6.5601119721092,SE%; early follow-up (k = 5),2.56127155376176
18.81,34.666934156003,SE%; late follow-up (k = 4),5.88786329291051
17.7,19.0298799003632,SE%; late follow-up (k = 4),4.36232505670579
9.7,7.12044597553633,SE%; late follow-up (k = 4),2.66841637971594
1.3,12.4656809392395,SE%; late follow-up (k = 4),3.53067712191861
-24.36,303.410671415032,WASO; posttreatment (k = 14),17.4186874194077
-16.78,184.190442492404,WASO; posttreatment (k = 14),13.5716779541958
-31.7,162.43839362236,WASO; posttreatment (k = 14),12.7451321539779
-73.6,399.60662645412,WASO; posttreatment (k = 14),19.9901632423079
-11.27,125.536058697842,WASO; posttreatment (k = 14),11.2042875140654
-23.41,137.588381047515,WASO; posttreatment (k = 14),11.7298073746978
-27.4,119.549608999067,WASO; posttreatment (k = 14),10.9338743818953
-19.07,81.0948430116739,WASO; posttreatment (k = 14),9.00526751472014
-24.12,337.934352701308,WASO; posttreatment (k = 14),18.3829908529953
-9.1,188.088544931856,WASO; posttreatment (k = 14),13.7145377221347
-20.63,64.0023520948676,WASO; posttreatment (k = 14),8.00014700457858
-15,319.801033238206,WASO; posttreatment (k = 14),17.8829816652091
-75.6,185.161141431024,WASO; posttreatment (k = 14),13.6073928961805
-20.96,52.4904754708695,WASO; posttreatment (k = 14),7.24503108833009
-20.11,238.04956467938,WASO; early follow-up (k = 3),15.4288549374015
-70.2,393.510504878159,WASO; early follow-up (k = 3),19.8370992052306
-41.4,197.72530058327,WASO; early follow-up (k = 3),14.0614828728435
-29.33,318.524929489913,WASO; late follow-up (k = 3),17.8472667232244
-26.7,175.163559316358,WASO; late follow-up (k = 3),13.2349370726255
